Jahr,Strasse_M,Strasse_F,MTB_XC_M,MTB_XC_F,MTB_DH_M,MTB_DH_F,BMX_M,BMX_F,Radquer_M,Radquer_F,Bahn_M,Bahn_F,Trial_M,Trial_F,Kunstrad_M,Kunstrad_F,Radball_M,Radball_F,Para_M,Para_F,Funk_M,Funk_F,Total
2015,533,71,358,103,179,13,484,43,89,11,17,3,79,5,11,191,348,5,26,5,270,61,2905
2016,527,70,383,115,172,19,439,45,94,13,10,2,85,9,8,199,351,5,27,7,305,63,2948
2017,444,71,394,112,160,20,449,46,83,13,18,2,84,8,9,201,350,8,26,6,315,69,2888
2018,480,82,437,127,166,18,440,54,94,12,28,2,104,11,10,194,341,4,33,5,296,66,3004
2019,446,73,449,143,156,21,462,58,77,12,26,4,101,9,11,188,345,4,35,5,293,78,2996
2020,382,71,428,131,103,18,315,45,68,12,20,6,67,6,12,186,328,5,35,7,251,67,2563
2021,423,82,435,146,140,25,343,50,46,14,22,12,97,10,13,163,278,4,37,7,268,70,2685
2022,373,74,367,133,137,28,368,59,57,8,33,10,65,9,11,189,276,3,37,5,279,71,2592
2023,395,94,374,130,171,29,369,62,52,11,35,12,83,12,11,189,272,4,37,6,287,70,2705
2024,414,94,337,120,184,26,357,59,52,10,35,11,85,12,12,194,268,14,33,5,285,65,2672
2025,438,113,581,207,176,31,324,61,50,8,39,11,82,19,16,199,264,17,39,3,271,72,3021
